prompt,id
"### Translate this sentence to [target language], Source:\n[source sentence]\n### Target:",mt-01-basic-no_errors
"### Translate this sentence from [source language] to [target language], Source:\n[source sentence]\n### Target:",mt-01-src-no_errors
"### Please translate this sentence from [source language] to [target language], Source:\n[source sentence]\n### Target:",mt-01-polite-no_errors
Provide the [target language] translation for this sentence: [source sentence]\n,mt-02-basic-no_errors
Provide the [target language] translation for this [source language] sentence: [source sentence]\n,mt-02-src-no_errors
Please provide the [target language] translation for this sentence: [source sentence]\n,mt-02-polite-no_errors
You are a machine translation system. Provide the [target language] translation for this sentence: [source sentence]\n,mt-03-basic-no_errors
You are a machine translation system. Provide the [target language] translation for this sentence in [source language]: [source sentence]\n,mt-03-src-no_errors
You are a machine translation system. Please provide the [target language] translation for this sentence: [source sentence]\n,mt-03-polite-no_errors
Answer with no quotes. What does this sentence mean in [target language]? [source sentence]\n,mt-04-basic-no_errors
Answer with no quotes. What does this [source language] sentence mean in [target language]? [source sentence]\n,mt-04-src-no_errors
Please answer with no quotes. What does this sentence mean in [target language]? [source sentence]\n,mt-04-polite-no_errors
